~id,~from,~to,~label,count:Int,first_seen:String,last_seen:String
A_XWJTVTOKD7_USES_DEVICE_D_54K9DHLLP9,A_XWJTVTOKD7,D_54K9DHLLP9,USES_DEVICE,18,2026-01-05T02:13:52.414049+00:00,2026-01-06T14:31:56.414049+00:00
A_PO0LLQIXUC_USES_DEVICE_D_4D7WU6S60I,A_PO0LLQIXUC,D_4D7WU6S60I,USES_DEVICE,13,2026-01-08T15:09:20.414049+00:00,2026-01-30T11:39:27.414049+00:00
A_PO0LLQIXUC_USES_DEVICE_D_KLUT6PLM58,A_PO0LLQIXUC,D_KLUT6PLM58,USES_DEVICE,9,2026-01-06T08:50:36.414049+00:00,2026-01-24T15:32:38.414049+00:00
A_5KN0W0BRNB_USES_DEVICE_D_BVS8703MZS,A_5KN0W0BRNB,D_BVS8703MZS,USES_DEVICE,2,2026-01-29T18:21:06.414049+00:00,2026-02-02T06:54:59.414049+00:00
A_5KN0W0BRNB_USES_DEVICE_D_R75V0OBGK9,A_5KN0W0BRNB,D_R75V0OBGK9,USES_DEVICE,7,2026-01-05T13:35:52.414049+00:00,2026-01-09T06:02:33.414049+00:00
A_4XX9JC01JR_USES_DEVICE_D_J2QW7M4V5D,A_4XX9JC01JR,D_J2QW7M4V5D,USES_DEVICE,11,2026-01-03T21:07:26.414049+00:00,2026-01-18T22:29:57.414049+00:00
A_4XX9JC01JR_USES_DEVICE_D_ZSS8XESBR3,A_4XX9JC01JR,D_ZSS8XESBR3,USES_DEVICE,9,2026-01-17T08:02:34.414049+00:00,2026-01-26T10:37:02.414049+00:00
A_GXQ5LHO3G8_USES_DEVICE_D_DX87N6C0KW,A_GXQ5LHO3G8,D_DX87N6C0KW,USES_DEVICE,5,2026-01-12T16:55:45.414049+00:00,2026-01-15T11:48:24.414049+00:00
A_GXQ5LHO3G8_USES_DEVICE_D_1L2LIT38KD,A_GXQ5LHO3G8,D_1L2LIT38KD,USES_DEVICE,13,2026-01-12T11:51:08.414049+00:00,2026-01-13T21:38:00.414049+00:00
A_GXQ5LHO3G8_USES_DEVICE_D_0P0Y6ZSMDP,A_GXQ5LHO3G8,D_0P0Y6ZSMDP,USES_DEVICE,5,2026-01-18T21:38:36.414049+00:00,2026-02-02T01:11:36.414049+00:00
A_9JY193AT6M_USES_DEVICE_D_674MNODV0O,A_9JY193AT6M,D_674MNODV0O,USES_DEVICE,6,2026-01-05T09:34:17.414049+00:00,2026-01-31T16:46:01.414049+00:00
A_9JY193AT6M_USES_DEVICE_D_GXROCH6IDQ,A_9JY193AT6M,D_GXROCH6IDQ,USES_DEVICE,11,2026-01-19T05:41:18.414049+00:00,2026-01-26T11:16:38.414049+00:00
A_9JY193AT6M_USES_DEVICE_D_PMB8MOD7NT,A_9JY193AT6M,D_PMB8MOD7NT,USES_DEVICE,15,2026-01-14T06:22:30.414049+00:00,2026-01-23T03:33:32.414049+00:00
A_DV6LOI5YRC_USES_DEVICE_D_WSKD2LO3N7,A_DV6LOI5YRC,D_WSKD2LO3N7,USES_DEVICE,13,2026-01-28T04:32:15.414049+00:00,2026-01-30T03:53:21.414049+00:00
