~id,~label,account_id:String,user_id:String,country:String,channel:String,kyc_level:String,status:String,is_fraud:Int,risk_score:Double
A_XWJTVTOKD7,account,A_XWJTVTOKD7,U_XAJI0Y6DPB,BR,mobile,basic,active,0,0.0
A_PO0LLQIXUC,account,A_PO0LLQIXUC,U_HSAHXTHV3A,US,mobile,none,active,0,0.0
A_5KN0W0BRNB,account,A_5KN0W0BRNB,U_3ZMF8MDD4V,IN,api,basic,active,0,0.0
A_4XX9JC01JR,account,A_4XX9JC01JR,U_30T9NT3W5U,AU,web,none,active,0,0.0
A_GXQ5LHO3G8,account,A_GXQ5LHO3G8,U_ZBIKCIDKWN,IN,api,basic,active,0,0.0
A_9JY193AT6M,account,A_9JY193AT6M,U_ZBIKCIDKWN,IN,api,basic,active,0,0.0
A_DV6LOI5YRC,account,A_DV6LOI5YRC,U_ZBIKCIDKWN,IN,api,basic,active,0,0.0
A_CRMGVGQ2UO,account,A_CRMGVGQ2UO,U_NHJ7XVG0FN,BR,mobile,basic,active,0,0.0
A_71E4FMTCP2,account,A_71E4FMTCP2,U_9XUY41IBLJ,BR,web,full,active,0,0.0
A_8ORNRFJ6NS,account,A_8ORNRFJ6NS,U_9XUY41IBLJ,BR,web,full,active,0,0.0
A_95PAVH9KS0,account,A_95PAVH9KS0,U_H75LXO6QJI,BR,mobile,full,active,0,0.0
A_QH4E3U4OOX,account,A_QH4E3U4OOX,U_UJV6OH9SDB,AU,api,basic,active,0,0.0
A_TAVPIAGF9A,account,A_TAVPIAGF9A,U_DW2PCN9T84,BR,api,basic,active,0,0.0
A_YXAQAFB6QD,account,A_YXAQAFB6QD,U_DW2PCN9T84,BR,api,basic,active,0,0.0
A_YHRQG3IGFO,account,A_YHRQG3IGFO,U_DW2PCN9T84,BR,api,basic,active,0,0.0
A_W5LF30EI0I,account,A_W5LF30EI0I,U_AZYTJXEPQ8,DE,api,full,active,0,0.0
A_05SFLYG6D9,account,A_05SFLYG6D9,U_5JSG65KXVF,AU,web,basic,active,0,0.0
A_WD6OCSVS1V,account,A_WD6OCSVS1V,U_1T2TALA753,US,mobile,full,active,0,0.0
A_0JWI0P91LE,account,A_0JWI0P91LE,U_LC58DRC11E,BR,mobile,full,active,0,0.0
A_MJOIEZZG6D,account,A_MJOIEZZG6D,U_RTJ5PHT0HL,BR,api,full,active,0,0.0
A_9IL1O5G5U6,account,A_9IL1O5G5U6,U_9XPSEIMVIH,AU,mobile,basic,active,0,0.0
A_NDXMZ2CAO1,account,A_NDXMZ2CAO1,U_CWI64CIYHE,CA,web,basic,active,0,0.0
A_325IUPZ883,account,A_325IUPZ883,U_7UR23GDPPQ,GB,api,full,active,0,0.0
A_4XO06R9DD6,account,A_4XO06R9DD6,U_0Y9DOM5IGQ,GB,mobile,full,active,0,0.0
A_XQGUUDJO74,account,A_XQGUUDJO74,U_PKI7P5TB94,US,web,full,active,0,0.0
A_7PZ4M6CN55,account,A_7PZ4M6CN55,U_874FRHOCN9,IN,api,none,active,0,0.0
A_MW1C8N3VO0,account,A_MW1C8N3VO0,U_J2QP89UZFK,GB,api,basic,active,0,0.0
A_HJLZ2MDKQA,account,A_HJLZ2MDKQA,U_8UT0CVS4F8,IN,mobile,full,active,0,0.0
A_HY9KDPPEQ1,account,A_HY9KDPPEQ1,U_8UT0CVS4F8,IN,mobile,full,active,0,0.0
A_FF4YEX324G,account,A_FF4YEX324G,U_CGVYIE6IVW,DE,api,basic,active,0,0.0
A_D02U7JHQDX,account,A_D02U7JHQDX,U_PVS7HZIOYK,BR,api,basic,active,0,0.0
A_7T0LSHGDKH,account,A_7T0LSHGDKH,U_PVS7HZIOYK,BR,api,basic,active,0,0.0
A_DHX09Z9CPC,account,A_DHX09Z9CPC,U_PVS7HZIOYK,BR,api,basic,active,0,0.0
A_6N7HMQDMJ9,account,A_6N7HMQDMJ9,U_L1CQ99CHJ7,CA,api,none,active,0,0.0
A_7W8FKROUFY,account,A_7W8FKROUFY,U_55NF4ZW9XA,GB,api,full,active,0,0.0
A_OTUX6J1YGS,account,A_OTUX6J1YGS,U_3KX7EEDTJV,IN,mobile,basic,active,0,0.0
A_MEUUYDUX8P,account,A_MEUUYDUX8P,U_ZHWJR64DPJ,DE,api,basic,active,0,0.0
A_NKVDKIPDHS,account,A_NKVDKIPDHS,U_A1WJ0TPAC5,US,web,basic,active,0,0.0
A_DIQKNPPAJI,account,A_DIQKNPPAJI,U_6T4UFEL624,FR,api,none,active,0,0.0
A_RYYIQEZRP1,account,A_RYYIQEZRP1,U_6HID25OWF7,BR,api,full,active,0,0.0
A_82GQT1KAYW,account,A_82GQT1KAYW,U_5935A0L725,CA,web,full,active,0,0.0
A_FVQFBDPWC1,account,A_FVQFBDPWC1,U_5935A0L725,CA,web,full,active,0,0.0
A_X5T5Q07NJ8,account,A_X5T5Q07NJ8,U_5935A0L725,CA,web,full,active,0,0.0
A_55VFNIE9LA,account,A_55VFNIE9LA,U_3J2D54I3QK,FR,web,full,active,0,0.0
A_4PKI46JI5E,account,A_4PKI46JI5E,U_2IAGL58KXO,DE,api,basic,active,0,0.0
A_RKP3WUDE71,account,A_RKP3WUDE71,U_9T7E8G8JDP,US,mobile,basic,active,0,0.0
A_MHYCSXF1GE,account,A_MHYCSXF1GE,U_0LVSNUJZA7,BR,api,basic,active,0,0.0
A_FWPS64HMZY,account,A_FWPS64HMZY,U_TZ0YNCXLL4,FR,web,basic,active,0,0.0
A_U5Q1OSSO2U,account,A_U5Q1OSSO2U,U_ZKLOOKEP7Y,BR,mobile,basic,active,0,0.0
A_MX9IYHOSDQ,account,A_MX9IYHOSDQ,U_6WKTAKPUXQ,IN,web,basic,active,0,0.0
