~id,~label,ip_id:String,ip:String,is_vpn:Int,reputation_score:Double
IP_W5ILWHNI92,ip,IP_W5ILWHNI92,73.250.195.76,0,0.481
IP_SBHJ81HVS9,ip,IP_SBHJ81HVS9,216.38.160.247,0,0.292
IP_6CN0PID8VP,ip,IP_6CN0PID8VP,153.84.147.90,0,0.135
IP_SPJP8WZ1OY,ip,IP_SPJP8WZ1OY,199.42.44.153,0,0.26
IP_STDHYIZD3N,ip,IP_STDHYIZD3N,124.249.131.193,0,0.148
IP_MJ3YH2AUVL,ip,IP_MJ3YH2AUVL,146.5.137.130,0,0.149
IP_T3H4OD2ND6,ip,IP_T3H4OD2ND6,218.87.200.249,0,0.224
IP_MLHBCV9JMJ,ip,IP_MLHBCV9JMJ,66.215.22.2,0,0.1
IP_O8ES0ZFNMF,ip,IP_O8ES0ZFNMF,15.164.183.111,0,0.111
IP_FU4RCF7WN7,ip,IP_FU4RCF7WN7,215.205.118.238,0,0.416
IP_LT01O1VYOH,ip,IP_LT01O1VYOH,202.59.79.123,0,0.111
IP_YVMTT71ELO,ip,IP_YVMTT71ELO,220.41.252.172,0,0.185
IP_2AYDVSWU0N,ip,IP_2AYDVSWU0N,145.252.150.95,0,0.438
IP_GU5YU9I4EH,ip,IP_GU5YU9I4EH,212.78.148.100,0,0.289
IP_2PBPFIRO1Z,ip,IP_2PBPFIRO1Z,52.60.223.115,0,0.665
IP_G8GW6LKIQJ,ip,IP_G8GW6LKIQJ,63.168.155.50,0,0.207
IP_02GUQT6VEJ,ip,IP_02GUQT6VEJ,220.163.103.7,0,0.053
IP_GVYJED33DA,ip,IP_GVYJED33DA,122.212.151.32,0,0.252
IP_IAM14IL5A1,ip,IP_IAM14IL5A1,22.20.172.109,0,0.352
IP_EYWQQ62S70,ip,IP_EYWQQ62S70,46.13.137.179,0,0.101
IP_FPYG638YIM,ip,IP_FPYG638YIM,90.184.137.86,0,0.161
IP_93ABUGOQ5R,ip,IP_93ABUGOQ5R,212.143.75.99,0,0.257
IP_4FV1N25MET,ip,IP_4FV1N25MET,98.66.176.173,0,0.144
IP_0I9V94WURN,ip,IP_0I9V94WURN,161.200.129.76,0,0.118
IP_6PH1TO6VP2,ip,IP_6PH1TO6VP2,93.250.65.34,0,0.137
IP_WM8CFHT4P7,ip,IP_WM8CFHT4P7,222.77.98.152,0,0.191
IP_WJXFB15Z00,ip,IP_WJXFB15Z00,163.147.40.163,0,0.262
IP_0E4X9JAC9L,ip,IP_0E4X9JAC9L,100.149.248.75,0,0.045
IP_O8MV9QAPGG,ip,IP_O8MV9QAPGG,73.243.87.244,0,0.155
IP_7R9ANN48CK,ip,IP_7R9ANN48CK,90.108.113.40,0,0.211
IP_0PLJH1FRX9,ip,IP_0PLJH1FRX9,84.115.126.210,0,0.093
IP_ZXOFQ23ESY,ip,IP_ZXOFQ23ESY,55.207.221.108,0,0.084
IP_KH85SCX8OZ,ip,IP_KH85SCX8OZ,131.0.128.127,0,0.069
IP_8XPPH4UMIQ,ip,IP_8XPPH4UMIQ,195.145.149.28,0,0.358
IP_PIG4EL6D61,ip,IP_PIG4EL6D61,43.134.42.143,0,0.246
IP_JC806SBOV0,ip,IP_JC806SBOV0,198.41.77.212,0,0.251
IP_JR9OKAT9HC,ip,IP_JR9OKAT9HC,207.238.120.118,0,0.057
IP_G2B7QV4RXR,ip,IP_G2B7QV4RXR,121.191.254.196,0,0.131
IP_61M0BPDOOV,ip,IP_61M0BPDOOV,139.43.248.101,0,0.045
IP_W1CF12PZT7,ip,IP_W1CF12PZT7,103.82.114.18,0,0.203
IP_Z4RPKJ6SPI,ip,IP_Z4RPKJ6SPI,125.6.40.74,0,0.161
IP_E0Z8IGQKI3,ip,IP_E0Z8IGQKI3,12.225.98.40,0,0.116
IP_QBLRHO0F9Z,ip,IP_QBLRHO0F9Z,179.75.245.55,0,0.208
